Date,Service,Description,Environment,Cost,
2025-11-19,RDS,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),prd-smartmobility,76.80,
2025-11-19,RDS,GB-month of provisioned GP3 storage running SQL Server,prd-smartmobility,49.68,
2025-11-19,RDS,GB-month of provisioned GP3 storage running SQL Server,dev-smartmobility,0.66,
2025-11-19,RDS,IOPS-month of provisioned GP3 IOPS running SQL Server,prd-smartmobility,6.90,
2025-11-19,RDS,MiBps-month of provisioned GP3 Storage throughput running SQL Server,prd-smartmobility,1.14,
2025-11-19,EC2,On Demand Windows m5a.xlarge Instance Hour,prd-smartmobility,19.01,
2025-11-19,EC2,On Demand Windows m5a.xlarge Instance Hour,dev-smartmobility,9.50,
2025-11-19,EC2,On Demand RHEL c6i.2xlarge Instance Hour,prd-smartmobility,23.96,
2025-11-19,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),prd-smartmobility,9.42,
2025-11-19,EC2,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),dev-smartmobility,2.43,
2025-11-19,EC2,On Demand RHEL m6i.large Instance Hour,prd-smartmobility,7.05,
2025-11-19,EC2,On Demand RHEL m6i.large Instance Hour,dev-smartmobility,3.52,
2025-11-19,EC2,On Demand Windows m5.xlarge Instance Hour,dev-smartmobility,10.08,
2025-11-19,EC2,On Demand RHEL m5a.xlarge Instance Hour,dev-smartmobility,6.48,
2025-11-19,EC2,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,prd-smartmobility,0.01,
2025-11-19,EC2,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,dev-smartmobility,0.01,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Germany),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to EU (Germany),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),dev-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),prd-smartmobility,0.00,
2025-11-19,EC2,GB - Asia Pacific (Seoul) data transfer to US East (Houston),prd-smartmobility,0.00,
2025-11-19,FSx,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),prd-smartmobility,4.85,
2025-11-19,FSx,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),dev-smartmobility,4.85,
2025-11-19,FSx,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),prd-smartmobility,3.47,
2025-11-19,FSx,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),dev-smartmobility,3.47,
2025-11-19,FSx,1000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul),dev-smartmobility,0.00,
2025-11-19,FSx,1000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul),prd-smartmobility,0.00,
2025-11-19,FSx,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,Application LoadBalancer-hour (or partial hour),prd-smartmobility,1.62,
2025-11-19,Elastic Load Balancing,Used Application load balancer capacity unit-hour (or partial hour),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to EU (Germany),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),prd-smartmobility,0.00,
2025-11-19,Elastic Load Balancing,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),prd-smartmobility,0.00,


Total,Daily Max,Daily Min,Average,
$244.90,$244.90,$244.90,$244.90,


Cost by Group,
Service,Cost for Service,Description,Cost for Description,Environment,Cost for Environment,
RDS,,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),,prd-smartmobility,76.80,
RDS,,RDS db.r6i.2xlarge Single-AZ instance hour (or partial hour) running SQL Server SE (LI),76.80,
RDS,,GB-month of provisioned GP3 storage running SQL Server,,prd-smartmobility,49.68,
RDS,,GB-month of provisioned GP3 storage running SQL Server,,dev-smartmobility,0.66,
RDS,,GB-month of provisioned GP3 storage running SQL Server,50.33,
RDS,,IOPS-month of provisioned GP3 IOPS running SQL Server,,prd-smartmobility,6.90,
RDS,,IOPS-month of provisioned GP3 IOPS running SQL Server,6.90,
RDS,,MiBps-month of provisioned GP3 Storage throughput running SQL Server,,prd-smartmobility,1.14,
RDS,,MiBps-month of provisioned GP3 Storage throughput running SQL Server,1.14,
RDS,135.17,
FSx,,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),,prd-smartmobility,4.85,
FSx,,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),,dev-smartmobility,4.85,
FSx,,GB-Month of provisioned ONTAP Single-AZ SSD storage - Asia Pacific (Seoul),9.69,
FSx,,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),,prd-smartmobility,3.47,
FSx,,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),,dev-smartmobility,3.47,
FSx,,MBps-Month of provisioned ONTAP Single-AZ throughput capacity - Asia Pacific (Seoul),6.94,
FSx,,"1,000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul)",,dev-smartmobility,0.00,
FSx,,"1,000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul)",,prd-smartmobility,0.00,
FSx,,"1,000 read requests to ONTAP standard capacity pool storage - Asia Pacific (Seoul)",0.00,
FSx,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,,prd-smartmobility,0.00,
FSx,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,0.00,
FSx,16.64,
Elastic Load Balancing,,Application LoadBalancer-hour (or partial hour),,prd-smartmobility,1.62,
Elastic Load Balancing,,Application LoadBalancer-hour (or partial hour),1.62,
Elastic Load Balancing,,Used Application load balancer capacity unit-hour (or partial hour),,prd-smartmobility,0.00,
Elastic Load Balancing,,Used Application load balancer capacity unit-hour (or partial hour),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,prd-smartmobility,0.00,
Elastic Load Balancing,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),0.00,
Elastic Load Balancing,1.62,
EC2,,On Demand Windows m5a.xlarge Instance Hour,,prd-smartmobility,19.01,
EC2,,On Demand Windows m5a.xlarge Instance Hour,,dev-smartmobility,9.50,
EC2,,On Demand Windows m5a.xlarge Instance Hour,28.51,
EC2,,On Demand RHEL c6i.2xlarge Instance Hour,,prd-smartmobility,23.96,
EC2,,On Demand RHEL c6i.2xlarge Instance Hour,23.96,
EC2,,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),,prd-smartmobility,9.42,
EC2,,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),,dev-smartmobility,2.43,
EC2,,GB-month of General Purpose (gp3) provisioned storage - Asia Pacific (Seoul),11.86,
EC2,,On Demand RHEL m6i.large Instance Hour,,prd-smartmobility,7.05,
EC2,,On Demand RHEL m6i.large Instance Hour,,dev-smartmobility,3.52,
EC2,,On Demand RHEL m6i.large Instance Hour,10.57,
EC2,,On Demand Windows m5.xlarge Instance Hour,,dev-smartmobility,10.08,
EC2,,On Demand Windows m5.xlarge Instance Hour,10.08,
EC2,,On Demand RHEL m5a.xlarge Instance Hour,,dev-smartmobility,6.48,
EC2,,On Demand RHEL m5a.xlarge Instance Hour,6.48,
EC2,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,,prd-smartmobility,0.01,
EC2,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,,dev-smartmobility,0.01,
EC2,,GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB,0.02,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Oregon),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Ohio),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Northern Virginia),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Tokyo),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to EU (Germany),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,dev-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US West (Northern California),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to Asia Pacific (Sydney),0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Houston),,prd-smartmobility,0.00,
EC2,,GB - Asia Pacific (Seoul) data transfer to US East (Houston),0.00,
EC2,91.48,

Report for 11/19/2025 to 11/19/2025,
